N,J,K,seed,transient_time
100,0.01,-0.7100000000000001,0,0
100,0.01,-0.7100000000000001,1,0
100,0.01,-0.7100000000000001,2,0
100,0.01,-0.7200000000000001,0,0
100,0.01,-0.7200000000000001,1,0
100,0.01,-0.7200000000000001,2,0
100,0.01,-0.73,0,0
100,0.01,-0.73,1,0
100,0.01,-0.73,2,0
100,0.01,-0.74,0,0
100,0.01,-0.74,1,0
100,0.01,-0.74,2,0
100,0.01,-0.75,0,0
100,0.01,-0.75,1,0
100,0.01,-0.75,2,0
100,0.01,-0.76,0,0
100,0.01,-0.76,1,0
100,0.01,-0.76,2,0
100,0.01,-0.77,0,0
100,0.01,-0.77,1,0
100,0.01,-0.77,2,0
100,0.01,-0.78,0,0
100,0.01,-0.78,1,0
100,0.01,-0.78,2,0
100,0.01,-0.79,0,0
100,0.01,-0.79,1,5380
100,0.01,-0.79,2,0
100,0.01,-0.8,0,0
100,0.01,-0.8,1,8260
100,0.01,-0.8,2,0
100,0.01,0.010000000000000009,0,6970
100,0.01,0.010000000000000009,1,3750
100,0.01,0.010000000000000009,2,1060
100,0.01,0.020000000000000018,0,2330
100,0.01,0.020000000000000018,1,1420
100,0.01,0.020000000000000018,2,210
100,0.01,0.030000000000000027,0,1260
100,0.01,0.030000000000000027,1,820
100,0.01,0.030000000000000027,2,0
100,0.01,0.039999999999999925,0,850
100,0.01,0.039999999999999925,1,550
100,0.01,0.039999999999999925,2,0
100,0.01,0.04999999999999993,0,640
100,0.01,0.04999999999999993,1,400
100,0.01,0.04999999999999993,2,0
100,0.01,0.05999999999999994,0,500
100,0.01,0.05999999999999994,1,310
100,0.01,0.05999999999999994,2,0
100,0.01,0.06999999999999995,0,410
100,0.01,0.06999999999999995,1,250
100,0.01,0.06999999999999995,2,0
100,0.01,0.07999999999999996,0,340
100,0.01,0.07999999999999996,1,210
100,0.01,0.07999999999999996,2,0
100,0.01,0.08999999999999997,0,290
100,0.01,0.08999999999999997,1,170
100,0.01,0.08999999999999997,2,0
100,0.01,0.09999999999999998,0,250
100,0.01,0.09999999999999998,1,150
100,0.01,0.09999999999999998,2,0
100,0.01,0.0,0,0
100,0.01,0.0,1,0
100,0.01,0.0,2,9583
100,0.01,0.10999999999999999,0,210
100,0.01,0.10999999999999999,1,130
100,0.01,0.10999999999999999,2,0
100,0.01,0.12,0,190
100,0.01,0.12,1,110
100,0.01,0.12,2,0
100,0.01,0.13,0,160
100,0.01,0.13,1,100
100,0.01,0.13,2,0
100,0.01,0.14,0,140
100,0.01,0.14,1,90
100,0.01,0.14,2,0
100,0.01,0.15000000000000002,0,130
100,0.01,0.15000000000000002,1,80
100,0.01,0.15000000000000002,2,0
100,0.01,0.15999999999999992,0,110
100,0.01,0.15999999999999992,1,70
100,0.01,0.15999999999999992,2,0
100,0.01,0.16999999999999993,0,100
100,0.01,0.16999999999999993,1,70
100,0.01,0.16999999999999993,2,0
