N,J,K,seed,transient_time,converged,window_size,threshold
100,0.01,-0.7100000000000001,1,50,True,50,0.01
100,0.01,-0.7100000000000001,2,93,True,50,0.01
100,0.01,-0.7200000000000001,0,86,True,50,0.01
100,0.01,-0.7200000000000001,1,50,True,50,0.01
100,0.01,-0.7200000000000001,2,93,True,50,0.01
100,0.01,-0.73,0,86,True,50,0.01
100,0.01,-0.73,1,50,True,50,0.01
100,0.01,-0.73,2,93,True,50,0.01
100,0.01,-0.74,0,85,True,50,0.01
100,0.01,-0.74,1,50,True,50,0.01
100,0.01,-0.74,2,92,True,50,0.01
100,0.01,-0.75,0,85,True,50,0.01
100,0.01,-0.75,1,50,True,50,0.01
100,0.01,-0.75,2,92,True,50,0.01
100,0.01,-0.76,0,85,True,50,0.01
100,0.01,-0.76,1,50,True,50,0.01
100,0.01,-0.76,2,91,True,50,0.01
100,0.01,-0.77,0,84,True,50,0.01
100,0.01,-0.77,1,50,True,50,0.01
100,0.01,-0.77,2,91,True,50,0.01
100,0.01,-0.78,0,84,True,50,0.01
100,0.01,-0.78,1,50,True,50,0.01
100,0.01,-0.78,2,90,True,50,0.01
100,0.01,-0.79,0,84,True,50,0.01
100,0.01,-0.79,1,50,True,50,0.01
100,0.01,-0.79,2,90,True,50,0.01
100,0.01,-0.8,0,83,True,50,0.01
100,0.01,-0.8,1,50,True,50,0.01
100,0.01,-0.8,2,89,True,50,0.01
100,0.01,0.010000000000000009,0,50,True,50,0.01
100,0.01,0.010000000000000009,1,50,True,50,0.01
100,0.01,0.010000000000000009,2,50,True,50,0.01
100,0.01,0.020000000000000018,0,50,True,50,0.01
100,0.01,0.020000000000000018,1,50,True,50,0.01
100,0.01,0.020000000000000018,2,50,True,50,0.01
100,0.01,0.030000000000000027,0,50,True,50,0.01
100,0.01,0.030000000000000027,1,50,True,50,0.01
100,0.01,0.030000000000000027,2,622,True,50,0.01
100,0.01,0.039999999999999925,0,50,True,50,0.01
100,0.01,0.039999999999999925,1,50,True,50,0.01
100,0.01,0.039999999999999925,2,500,True,50,0.01
100,0.01,0.04999999999999993,0,50,True,50,0.01
100,0.01,0.04999999999999993,1,50,True,50,0.01
100,0.01,0.04999999999999993,2,419,True,50,0.01
100,0.01,0.05999999999999994,0,50,True,50,0.01
100,0.01,0.05999999999999994,1,50,True,50,0.01
100,0.01,0.05999999999999994,2,362,True,50,0.01
100,0.01,0.06999999999999995,0,50,True,50,0.01
100,0.01,0.06999999999999995,1,50,True,50,0.01
100,0.01,0.06999999999999995,2,320,True,50,0.01
100,0.01,0.07999999999999996,0,50,True,50,0.01
100,0.01,0.07999999999999996,1,50,True,50,0.01
100,0.01,0.07999999999999996,2,288,True,50,0.01
100,0.01,0.08999999999999997,0,50,True,50,0.01
100,0.01,0.08999999999999997,1,50,True,50,0.01
100,0.01,0.08999999999999997,2,263,True,50,0.01
100,0.01,0.09999999999999998,0,50,True,50,0.01
100,0.01,0.09999999999999998,1,382,True,50,0.01
100,0.01,0.09999999999999998,2,242,True,50,0.01
100,0.01,0.0,0,50,True,50,0.01
100,0.01,0.0,1,50,True,50,0.01
100,0.01,0.0,2,50,True,50,0.01
100,0.01,0.10999999999999999,0,50,True,50,0.01
100,0.01,0.10999999999999999,1,351,True,50,0.01
100,0.01,0.10999999999999999,2,225,True,50,0.01
100,0.01,0.12,0,50,True,50,0.01
100,0.01,0.12,1,326,True,50,0.01
100,0.01,0.12,2,211,True,50,0.01
100,0.01,0.13,0,50,True,50,0.01
100,0.01,0.13,1,305,True,50,0.01
100,0.01,0.13,2,198,True,50,0.01
100,0.01,0.14,0,50,True,50,0.01
100,0.01,0.14,1,287,True,50,0.01
100,0.01,0.14,2,188,True,50,0.01
100,0.01,0.15000000000000002,0,50,True,50,0.01
100,0.01,0.15000000000000002,1,271,True,50,0.01
100,0.01,0.15000000000000002,2,179,True,50,0.01
100,0.01,0.15999999999999992,0,189,True,50,0.01
100,0.01,0.15999999999999992,1,257,True,50,0.01
100,0.01,0.15999999999999992,2,171,True,50,0.01
100,0.01,0.16999999999999993,0,181,True,50,0.01
100,0.01,0.16999999999999993,1,245,True,50,0.01
100,0.01,0.16999999999999993,2,163,True,50,0.01
100,0.01,0.17999999999999994,0,315,True,50,0.01
100,0.01,0.17999999999999994,1,234,True,50,0.01
100,0.01,0.17999999999999994,2,157,True,50,0.01
100,0.01,0.18999999999999995,0,300,True,50,0.01
100,0.01,0.18999999999999995,1,224,True,50,0.01
100,0.01,0.18999999999999995,2,151,True,50,0.01
100,0.01,0.2,0,278,True,50,0.01
100,0.01,0.2,1,215,True,50,0.01
100,0.01,0.2,2,146,True,50,0.01
100,0.02,-0.010000000000000009,0,50,True,50,0.01
100,0.02,-0.010000000000000009,1,50,True,50,0.01
100,0.02,-0.010000000000000009,2,50,True,50,0.01
100,0.02,-0.020000000000000018,0,50,True,50,0.01
100,0.02,-0.020000000000000018,1,50,True,50,0.01
