N,J,K,seed,transient_time,converged,window_size,threshold
240,0.2,-0.5,0,50,True,50,0.01
240,0.2,-0.5,1,57,True,50,0.01
240,0.2,-0.5,10,51,True,50,0.01
240,0.2,-0.5,11,70,True,50,0.01
240,0.2,-0.5,12,69,True,50,0.01
240,0.2,-0.5,13,68,True,50,0.01
240,0.2,-0.5,14,66,True,50,0.01
240,0.2,-0.5,15,50,True,50,0.01
240,0.2,-0.5,16,72,True,50,0.01
240,0.2,-0.5,17,55,True,50,0.01
240,0.2,-0.5,18,74,True,50,0.01
240,0.2,-0.5,19,82,True,50,0.01
240,0.2,-0.5,2,99,True,50,0.01
240,0.2,-0.5,20,64,True,50,0.01
240,0.2,-0.5,21,94,True,50,0.01
240,0.2,-0.5,22,89,True,50,0.01
240,0.2,-0.5,23,94,True,50,0.01
240,0.2,-0.5,24,81,True,50,0.01
240,0.2,-0.5,25,64,True,50,0.01
240,0.2,-0.5,26,54,True,50,0.01
240,0.2,-0.5,27,59,True,50,0.01
240,0.2,-0.5,28,50,True,50,0.01
240,0.2,-0.5,29,50,True,50,0.01
240,0.2,-0.5,3,95,True,50,0.01
240,0.2,-0.5,4,67,True,50,0.01
240,0.2,-0.5,5,50,True,50,0.01
240,0.2,-0.5,6,50,True,50,0.01
240,0.2,-0.5,7,52,True,50,0.01
240,0.2,-0.5,8,94,True,50,0.01
240,0.2,-0.5,9,66,True,50,0.01
250,0.2,-0.5,0,65,True,50,0.01
250,0.2,-0.5,1,61,True,50,0.01
250,0.2,-0.5,10,72,True,50,0.01
250,0.2,-0.5,11,60,True,50,0.01
250,0.2,-0.5,12,50,True,50,0.01
250,0.2,-0.5,13,94,True,50,0.01
250,0.2,-0.5,14,65,True,50,0.01
250,0.2,-0.5,15,66,True,50,0.01
250,0.2,-0.5,16,67,True,50,0.01
250,0.2,-0.5,17,89,True,50,0.01
250,0.2,-0.5,18,99,True,50,0.01
250,0.2,-0.5,19,55,True,50,0.01
250,0.2,-0.5,2,62,True,50,0.01
250,0.2,-0.5,21,50,True,50,0.01
250,0.2,-0.5,22,53,True,50,0.01
250,0.2,-0.5,23,81,True,50,0.01
250,0.2,-0.5,24,67,True,50,0.01
250,0.2,-0.5,25,90,True,50,0.01
250,0.2,-0.5,26,76,True,50,0.01
250,0.2,-0.5,27,82,True,50,0.01
250,0.2,-0.5,28,66,True,50,0.01
250,0.2,-0.5,29,88,True,50,0.01
250,0.2,-0.5,3,51,True,50,0.01
250,0.2,-0.5,4,77,True,50,0.01
250,0.2,-0.5,5,62,True,50,0.01
250,0.2,-0.5,6,66,True,50,0.01
250,0.2,-0.5,7,95,True,50,0.01
250,0.2,-0.5,8,90,True,50,0.01
250,0.2,-0.5,9,50,True,50,0.01
260,0.2,-0.5,0,66,True,50,0.01
260,0.2,-0.5,1,77,True,50,0.01
260,0.2,-0.5,10,89,True,50,0.01
260,0.2,-0.5,11,58,True,50,0.01
260,0.2,-0.5,12,50,True,50,0.01
260,0.2,-0.5,13,70,True,50,0.01
260,0.2,-0.5,14,89,True,50,0.01
260,0.2,-0.5,15,88,True,50,0.01
260,0.2,-0.5,16,63,True,50,0.01
260,0.2,-0.5,17,95,True,50,0.01
260,0.2,-0.5,18,60,True,50,0.01
260,0.2,-0.5,19,82,True,50,0.01
260,0.2,-0.5,2,63,True,50,0.01
260,0.2,-0.5,20,60,True,50,0.01
260,0.2,-0.5,21,69,True,50,0.01
260,0.2,-0.5,22,54,True,50,0.01
260,0.2,-0.5,23,66,True,50,0.01
260,0.2,-0.5,24,54,True,50,0.01
260,0.2,-0.5,25,69,True,50,0.01
260,0.2,-0.5,26,53,True,50,0.01
260,0.2,-0.5,27,76,True,50,0.01
260,0.2,-0.5,28,62,True,50,0.01
260,0.2,-0.5,29,63,True,50,0.01
260,0.2,-0.5,3,53,True,50,0.01
260,0.2,-0.5,4,50,True,50,0.01
260,0.2,-0.5,5,60,True,50,0.01
260,0.2,-0.5,6,52,True,50,0.01
260,0.2,-0.5,7,64,True,50,0.01
260,0.2,-0.5,8,54,True,50,0.01
260,0.2,-0.5,9,50,True,50,0.01
270,0.2,-0.5,0,50,True,50,0.01
270,0.2,-0.5,1,59,True,50,0.01
270,0.2,-0.5,10,68,True,50,0.01
270,0.2,-0.5,11,72,True,50,0.01
270,0.2,-0.5,12,69,True,50,0.01
270,0.2,-0.5,13,67,True,50,0.01
270,0.2,-0.5,14,63,True,50,0.01
270,0.2,-0.5,15,51,True,50,0.01
270,0.2,-0.5,16,51,True,50,0.01
270,0.2,-0.5,17,57,True,50,0.01
270,0.2,-0.5,18,53,True,50,0.01
270,0.2,-0.5,19,50,True,50,0.01
270,0.2,-0.5,20,62,True,50,0.01
270,0.2,-0.5,21,52,True,50,0.01
270,0.2,-0.5,22,95,True,50,0.01
270,0.2,-0.5,7,66,True,50,0.01
270,0.2,-0.5,8,54,True,50,0.01
270,0.2,-0.5,9,65,True,50,0.01
280,0.2,-0.5,0,50,True,50,0.01
