N,J,K,seed,transient_time,converged,window_size,threshold
180,0.2,0.2,24,222,True,50,0.01
180,0.2,0.2,25,272,True,50,0.01
180,0.2,0.2,26,255,True,50,0.01
180,0.2,0.2,27,201,True,50,0.01
180,0.2,0.2,28,243,True,50,0.01
180,0.2,0.2,29,213,True,50,0.01
180,0.2,0.2,3,231,True,50,0.01
180,0.2,0.2,4,217,True,50,0.01
180,0.2,0.2,5,250,True,50,0.01
180,0.2,0.2,6,284,True,50,0.01
180,0.2,0.2,7,281,True,50,0.01
180,0.2,0.2,8,225,True,50,0.01
180,0.2,0.2,9,226,True,50,0.01
190,0.2,0.2,0,213,True,50,0.01
190,0.2,0.2,1,218,True,50,0.01
190,0.2,0.2,10,212,True,50,0.01
190,0.2,0.2,11,269,True,50,0.01
190,0.2,0.2,12,278,True,50,0.01
190,0.2,0.2,13,210,True,50,0.01
190,0.2,0.2,14,182,True,50,0.01
190,0.2,0.2,15,230,True,50,0.01
190,0.2,0.2,16,242,True,50,0.01
190,0.2,0.2,17,244,True,50,0.01
190,0.2,0.2,18,210,True,50,0.01
190,0.2,0.2,19,240,True,50,0.01
190,0.2,0.2,2,191,True,50,0.01
190,0.2,0.2,20,181,True,50,0.01
190,0.2,0.2,21,269,True,50,0.01
190,0.2,0.2,22,216,True,50,0.01
190,0.2,0.2,23,207,True,50,0.01
190,0.2,0.2,24,222,True,50,0.01
190,0.2,0.2,25,237,True,50,0.01
190,0.2,0.2,26,228,True,50,0.01
190,0.2,0.2,27,178,True,50,0.01
190,0.2,0.2,28,297,True,50,0.01
190,0.2,0.2,29,213,True,50,0.01
190,0.2,0.2,3,224,True,50,0.01
190,0.2,0.2,4,249,True,50,0.01
190,0.2,0.2,5,234,True,50,0.01
190,0.2,0.2,6,226,True,50,0.01
190,0.2,0.2,7,314,True,50,0.01
190,0.2,0.2,8,215,True,50,0.01
190,0.2,0.2,9,230,True,50,0.01
200,0.2,0.2,0,242,True,50,0.01
200,0.2,0.2,1,182,True,50,0.01
200,0.2,0.2,10,222,True,50,0.01
200,0.2,0.2,11,251,True,50,0.01
200,0.2,0.2,12,285,True,50,0.01
200,0.2,0.2,13,192,True,50,0.01
200,0.2,0.2,14,185,True,50,0.01
200,0.2,0.2,15,216,True,50,0.01
200,0.2,0.2,16,216,True,50,0.01
200,0.2,0.2,17,230,True,50,0.01
200,0.2,0.2,18,198,True,50,0.01
200,0.2,0.2,19,219,True,50,0.01
200,0.2,0.2,2,196,True,50,0.01
200,0.2,0.2,20,176,True,50,0.01
200,0.2,0.2,21,246,True,50,0.01
200,0.2,0.2,22,214,True,50,0.01
200,0.2,0.2,23,212,True,50,0.01
200,0.2,0.2,24,212,True,50,0.01
200,0.2,0.2,25,252,True,50,0.01
200,0.2,0.2,26,261,True,50,0.01
200,0.2,0.2,27,188,True,50,0.01
200,0.2,0.2,28,257,True,50,0.01
200,0.2,0.2,29,220,True,50,0.01
200,0.2,0.2,3,300,True,50,0.01
200,0.2,0.2,4,232,True,50,0.01
200,0.2,0.2,5,366,True,50,0.01
200,0.2,0.2,6,315,True,50,0.01
200,0.2,0.2,7,251,True,50,0.01
